Airline Name,Airline Country,Departure Airport Name,Departure Airport City,Departure Airport Country/Region,Arrival Airport Name,Arrival Airport City,Arrival Airport Country/Region,Plane Name
Tuna Aero,Sweden,Norsup Airport,Norsup,Vanuatu,Bauerfield International Airport,Port-vila,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Santo Pekoa International Airport,Santo,Vanuatu,Lonorore Airport,Lonorore,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Craig Cove Airport,Craig Cove,Vanuatu,Norsup Airport,Norsup,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
Tuna Aero,Sweden,Bauerfield International Airport,Port-vila,Vanuatu,Norsup Airport,Norsup,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
Tuna Aero,Sweden,Aneityum Airport,Anelghowhat,Vanuatu,Tanna Airport,Tanna,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Futuna Airport,Futuna Island,Wallis and Futuna,Tanna Airport,Tanna,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Lonorore Airport,Lonorore,Vanuatu,Santo Pekoa International Airport,Santo,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Tanna Airport,Tanna,Vanuatu,Aneityum Airport,Anelghowhat,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Tanna Airport,Tanna,Vanuatu,Aniwa Airport,Aniwa,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Aniwa Airport,Aniwa,Vanuatu,Futuna Airport,Futuna Island,Wallis and Futuna,Harbin Yunshuji Y12
Tuna Aero,Sweden,Dillon's Bay Airport,Dillon's Bay,Vanuatu,Ipota Airport,Ipota,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Dillon's Bay Airport,Dillon's Bay,Vanuatu,Bauerfield International Airport,Port-vila,Vanuatu,Harbin Yunshuji Y12
