route_id,aircraft_name
1,Boeing 777-300ER
2,Airbus A330-200
3,Boeing 737-800
4,Airbus A321
4,Boeing 777
5,Aerospatiale/Alenia ATR 72
6,Airbus A321
7,Aerospatiale/Alenia ATR 72
7,Airbus A321
8,Aerospatiale/Alenia ATR 72
9,Airbus A321
10,Airbus A330
10,Airbus A330-200
11,Airbus A321
12,Airbus A321
12,Airbus A330
12,Airbus A330-200
13,Aerospatiale/Alenia ATR 72
14,Airbus A321
15,Aerospatiale/Alenia ATR 72
16,Aerospatiale/Alenia ATR 72
17,Airbus A321
18,Boeing 777
19,Boeing 777
20,Airbus A321
21,Airbus A321
22,Aerospatiale/Alenia ATR 72
23,Aerospatiale/Alenia ATR 72
24,Airbus A321
25,Airbus A321
26,Aerospatiale/Alenia ATR 72
27,Aerospatiale/Alenia ATR 72
28,Aerospatiale/Alenia ATR 72
29,Airbus A321
30,Aerospatiale/Alenia ATR 72
31,Airbus A321
32,Airbus A321
33,Airbus A321
34,Airbus A321
35,Aerospatiale/Alenia ATR 72
36,Airbus A321
37,Aerospatiale/Alenia ATR 72
38,Airbus A321
39,Aerospatiale/Alenia ATR 72
40,Airbus A321
41,Aerospatiale/Alenia ATR 72
42,Airbus A321
43,Airbus A321
44,Aerospatiale/Alenia ATR 72
45,Airbus A330
45,Airbus A330-200
46,Airbus A330
47,Airbus A330
47,Airbus A330-200
48,Aerospatiale/Alenia ATR 72
48,Airbus A321
49,Airbus A321
50,Aerospatiale/Alenia ATR 72
51,Aerospatiale/Alenia ATR 72
52,Boeing 737-800
53,Boeing 777
54,Boeing 777
55,Airbus A321
56,Airbus A321
57,Airbus A321
58,Airbus A321
59,Airbus A321
60,Airbus A321
61,Airbus A321
62,Airbus A321
63,Airbus A321
64,Airbus A321
65,Airbus A321
65,Airbus A330
66,Airbus A321
67,Airbus A321
67,Airbus A330
67,Airbus A330-200
68,Airbus A321
68,Airbus A330
68,Airbus A330-200
69,Boeing 767
70,Airbus A321
71,Airbus A330-200
72,Airbus A321
73,Airbus A321
74,Airbus A321
75,Airbus A321
76,Aerospatiale/Alenia ATR 72
77,Airbus A321
78,Airbus A321
79,Aerospatiale/Alenia ATR 72
80,Aerospatiale/Alenia ATR 72
81,Airbus A330
82,Airbus A330
82,Boeing 777
83,Airbus A321
83,Airbus A330
83,Boeing 777
84,Airbus A320
85,Airbus A321
85,Boeing 777
86,Airbus A321
87,Airbus A321
88,Airbus A321
89,Boeing 777
90,Airbus A321
91,Aerospatiale/Alenia ATR 72
92,Airbus A321
93,Airbus A321
94,Aerospatiale/Alenia ATR 72
95,Airbus A330
96,Aerospatiale/Alenia ATR 72
97,Aerospatiale/Alenia ATR 72
98,Boeing 777
99,Airbus A321
100,Airbus A321
101,Airbus A321
102,Airbus A321
103,Airbus A321
103,Airbus A330
103,Airbus A330-200
104,Airbus A321
105,Airbus A321
106,Airbus A321
107,Airbus A321
108,Aerospatiale/Alenia ATR 72
109,Airbus A330
109,Boeing 777
110,Airbus A321
111,Airbus A321
112,Airbus A321
113,Airbus A321
114,Aerospatiale/Alenia ATR 72
115,Airbus A321
116,Airbus A321
117,Airbus A321
118,Airbus A321
119,Airbus A321
120,Airbus A321
120,Airbus A330
120,Airbus A330-200
120,Boeing 777
121,Aerospatiale/Alenia ATR 72
121,Airbus A321
122,Airbus A321
123,Airbus A321
124,Airbus A321
125,Airbus A321
126,Airbus A321
127,Airbus A321
128,Airbus A321
129,Airbus A321
130,Airbus A321
131,Airbus A321
132,Aerospatiale/Alenia ATR 72
133,Airbus A321
134,Aerospatiale/Alenia ATR 72
134,Airbus A321
135,Aerospatiale/Alenia ATR 72
136,Aerospatiale/Alenia ATR 72
137,Aerospatiale/Alenia ATR 72
138,Aerospatiale/Alenia ATR 72
139,Airbus A321
140,Airbus A321
141,Airbus A321
142,Aerospatiale/Alenia ATR 72
143,Aerospatiale/Alenia ATR 72
144,Airbus A321
145,Airbus A321
146,Airbus A321
147,Airbus A321
148,Airbus A321
149,Boeing 767
150,Airbus A321
151,Airbus A321
152,Airbus A321
153,Airbus A330
154,Airbus A321
155,Airbus A321
156,Airbus A330-200
157,Aerospatiale/Alenia ATR 72
157,Airbus A321
158,Aerospatiale/Alenia ATR 72
159,Airbus A321
159,Airbus A330
159,Airbus A330-200
160,Airbus A321
161,Boeing 777
162,Aerospatiale/Alenia ATR 72
163,Airbus A321
164,Aerospatiale/Alenia ATR 72
165,Airbus A321
166,Airbus A330
166,Airbus A330-200
167,Airbus A321
168,Aerospatiale/Alenia ATR 72
169,Boeing 777
170,Airbus A321
171,Airbus A321
172,Airbus A321
173,Airbus A321
174,Airbus A321
174,Airbus A330
175,Airbus A321
175,Airbus A330
175,Airbus A330-200
176,Airbus A321
176,Airbus A330-200
177,Airbus A321
178,Airbus A321
179,Airbus A321
180,Airbus A330
181,Airbus A321
181,Airbus A330
181,Boeing 777
182,Airbus A320
183,Airbus A321
183,Airbus A330
183,Airbus A330-200
183,Boeing 777
184,Airbus A321
185,Airbus A321
186,Airbus A321
187,Aerospatiale/Alenia ATR 72
187,Airbus A321
188,Aerospatiale/Alenia ATR 72
189,Aerospatiale/Alenia ATR 72
190,Airbus A321
191,Airbus A321
192,Airbus A321
193,Airbus A321
194,Airbus A321
195,Airbus A330
196,Airbus A321
197,Airbus A321
198,Airbus A321
199,Aerospatiale/Alenia ATR 72
200,Aerospatiale/Alenia ATR 72
200,Airbus A321
201,Airbus A321
202,Aerospatiale/Alenia ATR 72
203,Airbus A321
204,Airbus A321
205,Aerospatiale/Alenia ATR 72
206,Airbus A321
207,Airbus A321
208,Airbus A321
209,Airbus A321
210,Boeing 737-400
211,Boeing 737-400
212,Boeing 737-400
213,Boeing 737-400
214,Boeing 737-600
215,De Havilland Canada DHC-8-400 Dash 8Q
216,Boeing 737-600
217,De Havilland Canada DHC-8-400 Dash 8Q
218,Boeing 737-600
219,Boeing 737-600
219,De Havilland Canada DHC-8-400 Dash 8Q
220,De Havilland Canada DHC-8-400 Dash 8Q
221,De Havilland Canada DHC-8-400 Dash 8Q
222,Boeing 737-600
223,De Havilland Canada DHC-8-400 Dash 8Q
224,Boeing 737-600
224,De Havilland Canada DHC-8-400 Dash 8Q
225,Boeing 737-600
226,De Havilland Canada DHC-8-400 Dash 8Q
227,Boeing 737-600
228,De Havilland Canada DHC-8-400 Dash 8Q
229,De Havilland Canada DHC-8-400 Dash 8Q
230,Boeing 737-600
231,Boeing 737-600
232,Boeing 737-600
233,Canadair Regional Jet 700
233,Embraer 175
233,Embraer RJ145
234,Boeing 737-600
235,Airbus A319
236,Boeing 737-800
237,Boeing 737-800
238,Canadair Regional Jet 700
239,De Havilland Canada DHC-8-400 Dash 8Q
240,De Havilland Canada DHC-8-400 Dash 8Q
241,De Havilland Canada DHC-8-400 Dash 8Q
242,Boeing 737-600
243,De Havilland Canada DHC-8-400 Dash 8Q
244,De Havilland Canada DHC-8-400 Dash 8Q
245,Boeing 737-600
246,Boeing 737-600
247,Boeing 737-600
248,De Havilland Canada DHC-8-400 Dash 8Q
249,De Havilland Canada DHC-8-400 Dash 8Q
250,De Havilland Canada DHC-8-400 Dash 8Q
251,De Havilland Canada DHC-8-400 Dash 8Q
252,De Havilland Canada DHC-8-400 Dash 8Q
253,Canadair Regional Jet 700
254,Boeing 737-600
255,Boeing 737-800
256,Airbus A320
256,Boeing 737-800
256,Boeing 737-900
256,Boeing 757
256,McDonnell Douglas MD-88
257,Canadair Regional Jet 700
257,Canadair Regional Jet 900
258,Boeing 737-600
259,Canadair Regional Jet 700
260,De Havilland Canada DHC-8-400 Dash 8Q
261,Boeing 737-600
262,De Havilland Canada DHC-8-400 Dash 8Q
263,De Havilland Canada DHC-8-400 Dash 8Q
264,Canadair Regional Jet 700
265,Airbus A320
265,Boeing 737-800
265,Boeing 737-900
265,Boeing 757
265,McDonnell Douglas MD-88
266,Boeing 737-600
267,Airbus A319
267,Canadair Regional Jet 900
268,Canadair Regional Jet 700
269,Boeing 737-600
270,Boeing 737-600
271,Embraer 175
272,Airbus A319
273,Canadair Regional Jet 700
274,Boeing 737-600
275,Canadair Regional Jet 700
275,Canadair Regional Jet 900
276,Canadair Regional Jet 700
277,Boeing 737-600
278,Boeing 737-800
279,Boeing 737-800
280,Boeing 737-600
281,Boeing 737-600
282,Boeing 737-600
283,Boeing 737-600
284,Boeing 737-600
285,Boeing 737-600
286,Boeing 737-600
287,Boeing 737-800
288,Airbus A319
288,Canadair Regional Jet 900
289,Boeing 737-800
290,Boeing 737-800
291,Boeing 737-800
292,Boeing 737-800
293,Canadair Regional Jet 900
294,Boeing 737-800
295,Boeing 737-600
296,Canadair Regional Jet 700
297,Boeing 737-600
298,Boeing 737-800
299,Canadair Regional Jet 900
300,De Havilland Canada DHC-8-400 Dash 8Q
301,De Havilland Canada DHC-8-400 Dash 8Q
302,Boeing 737-600
303,Boeing 737-600
304,Boeing 737-600
305,De Havilland Canada DHC-8-400 Dash 8Q
306,De Havilland Canada DHC-8-400 Dash 8Q
307,De Havilland Canada DHC-8-400 Dash 8Q
308,De Havilland Canada DHC-8-400 Dash 8Q
309,De Havilland Canada DHC-8-400 Dash 8Q
310,De Havilland Canada DHC-8-400 Dash 8Q
311,De Havilland Canada DHC-8-400 Dash 8Q
312,Boeing 737-600
313,Boeing 737-600
314,Boeing 737-600
315,Boeing 737-600
316,Boeing 737-600
317,Boeing 737-800
318,Boeing 737-600
319,De Havilland Canada DHC-8-400 Dash 8Q
320,De Havilland Canada DHC-8-400 Dash 8Q
321,Boeing 737-600
322,De Havilland Canada DHC-8-400 Dash 8Q
323,De Havilland Canada DHC-8-400 Dash 8Q
324,De Havilland Canada DHC-8-400 Dash 8Q
325,Boeing 737-600
326,Boeing 737-600
327,De Havilland Canada DHC-8-400 Dash 8Q
328,De Havilland Canada DHC-8-400 Dash 8Q
329,Boeing 737-600
330,Boeing 737-600
331,De Havilland Canada DHC-8-400 Dash 8Q
332,De Havilland Canada DHC-8-400 Dash 8Q
333,Boeing 737-600
334,Boeing 737-600
335,Boeing 737-600
336,Airbus A320
337,Airbus A320
338,Airbus A320
339,Airbus A320
340,Airbus A320
341,Airbus A320
342,Airbus A320
343,Airbus A320
344,Airbus A320
345,Airbus A320
346,Airbus A320
347,Airbus A320
348,Airbus A320
349,Airbus A320
350,Airbus A320
351,Airbus A320
352,Airbus A320
353,Airbus A320
354,Airbus A320
355,Airbus A320
356,Airbus A320
357,Airbus A320
358,Airbus A320
359,Airbus A320
360,Airbus A320
361,Airbus A320
362,Airbus A320
363,Airbus A320
364,Airbus A320
365,Airbus A320
366,Airbus A320
367,Airbus A320
368,Airbus A320
369,Airbus A320
370,Boeing 717
371,Boeing 717
372,Boeing 717
373,Boeing 737-300
373,Boeing 737-500
374,Boeing 737-300
375,Boeing 737-300
376,Boeing 737-300
377,Boeing 737-300
378,Boeing 737-500
379,Boeing 737-300
379,Boeing 737-500
380,Boeing 737-300
381,Boeing 737-500
382,Boeing 737-500
383,Boeing 737-500
384,Boeing 737-300
385,Boeing 737-300
386,Boeing 737-300
387,Boeing 737-300
388,Boeing 737-500
389,Boeing 737-500
390,Boeing 737-300
390,Boeing 737-800
391,Boeing 737-800
392,Boeing 737-300
393,Boeing 737-300
394,Boeing 737-300
395,Boeing 737-300
396,Boeing 737-300
397,Boeing 737-300
398,Boeing 737-300
399,Boeing 737-300
400,Boeing 737-800
401,Boeing 737-300
402,Boeing 737-800
403,Boeing 737-300
404,Boeing 737-800
405,Boeing 737-300
406,Boeing 737-300
406,Boeing 737-800
407,Boeing 737-300
408,Boeing 737-800
409,Boeing 737-300
410,Boeing 737-800
411,Boeing 737-300
412,Boeing 737-300
413,Boeing 737-800
414,Boeing 737-800
415,Boeing 737-300
416,Boeing 737-300
416,Boeing 737-800
417,Boeing 737-300
418,Boeing 737-500
419,Boeing 737-500
420,Boeing 737-300
420,Boeing 737-800
421,Boeing 717
422,Boeing 737-800
423,Boeing 737-300
424,Boeing 737-300
425,Boeing 737-800
426,Boeing 737-800
427,Boeing 737-700
428,Boeing 737-300
429,Boeing 737-300
430,Boeing 737-800
431,Boeing 737-800
432,Boeing 737-800
433,Boeing 737-300
434,Boeing 737-300
435,Boeing 737-800
436,Boeing 737-800
437,Boeing 737-800
438,Boeing 737-800
439,Boeing 737-800
440,Boeing 737-800
441,Boeing 737-300
442,Boeing 737-300
442,Boeing 737-500
443,Boeing 737-800
444,Boeing 737-300
445,Boeing 737-300
445,Boeing 737-500
446,Boeing 737-300
446,Boeing 737-500
447,Boeing 737-500
448,Boeing 737-300
449,Boeing 737-500
450,Boeing 737-500
451,Boeing 737-500
452,Boeing 737-300
452,Boeing 737-500
453,Boeing 737-300
453,Boeing 737-500
454,Boeing 737-300
455,Boeing 737-500
456,Boeing 737-300
456,Boeing 737-500
457,Boeing 737-300
458,Boeing 737-300
458,Boeing 737-500
459,Boeing 737-800
460,Boeing 737-800
461,Boeing 737-300
462,Boeing 737-300
463,Boeing 737-300
464,Boeing 737-800
465,Boeing 737-300
466,Boeing 737-800
467,Boeing 737-300
468,Boeing 737-300
468,Boeing 737-800
469,Boeing 737-300
470,Boeing 737-300
471,Boeing 737-300
472,Boeing 737-500
473,Boeing 737-300
474,Boeing 737-300
475,Boeing 717
475,Boeing 737-700
476,Boeing 737-500
477,Boeing 737-500
478,Boeing 737-300
479,Boeing 737-500
480,Boeing 737-500
481,Boeing 737-500
482,Boeing 737-500
483,Boeing 737-300
484,Boeing 737-300
485,Boeing 737-300
486,Boeing 737-300
487,Boeing 737-800
488,Boeing 737-300
489,Boeing 717
490,Boeing 737-300
491,Boeing 737-300
492,Boeing 737-300
493,Boeing 737-300
494,Boeing 717
494,Boeing 737-700
495,Boeing 737-300
496,Boeing 717
497,Boeing 737-300
498,Boeing 717
499,Boeing 737-700
500,Boeing 717
500,Boeing 737-700
501,Boeing 737-300
502,Boeing 717
502,Boeing 737-700
503,Boeing 717
504,Boeing 717
505,Boeing 717
506,Boeing 737-300
507,Boeing 737-700
508,Boeing 717
509,Boeing 717
510,Boeing 737-300
511,Boeing 737-300
512,Boeing 737-300
513,Boeing 717
513,Boeing 737-700
514,Boeing 737-700
515,Boeing 737-700
516,Boeing 717
517,Boeing 717
518,Boeing 737-700
519,Boeing 737-300
520,Boeing 737-300
521,Boeing 717
522,Boeing 737-300
523,Boeing 737-300
524,Boeing 737-300
525,Boeing 717
526,Boeing 737-300
527,Boeing 737-300
528,Boeing 737-300
529,Boeing 737-300
529,Boeing 737-500
530,Boeing 737-300
531,Boeing 737-300
532,Boeing 717
533,Boeing 717
534,Boeing 737-300
535,Boeing 717
536,Boeing 737-300
537,Boeing 737-300
538,Boeing 737-300
539,Boeing 737-300
540,Boeing 737-300
541,Boeing 737-300
542,Boeing 737-300
542,Boeing 737-800
543,Boeing 737-300
544,Boeing 737-300
545,Boeing 737-300
