route_id,arr_airport
1,Kuala Lumpur International Airport
2,Tan Son Nhat International Airport
3,Frankfurt am Main Airport
4,Noi Bai International Airport
5,Da Nang International Airport
6,Noi Bai International Airport
7,Tan Son Nhat International Airport
8,Tan Son Nhat International Airport
9,Da Nang International Airport
10,Domodedovo International Airport
11,Noi Bai International Airport
12,Tan Son Nhat International Airport
13,Co Ong Airport
14,Noi Bai International Airport
15,Phu Quoc International Airport
16,Da Nang International Airport
17,Tan Son Nhat International Airport
18,Noi Bai International Airport
19,Tan Son Nhat International Airport
20,Da Nang International Airport
21,Noi Bai International Airport
22,Noi Bai International Airport
23,Tan Son Nhat International Airport
24,Noi Bai International Airport
25,Tan Son Nhat International Airport
26,Can Tho International Airport
27,Tan Son Nhat International Airport
28,Buon Ma Thuot Airport
29,Cam Ranh Airport
30,Cat Bi International Airport
31,Chengdu Shuangliu International Airport
32,Guangzhou Baiyun International Airport
33,Hangzhou Xiaoshan International Airport
34,Incheon International Airport
35,Lien Khuong Airport
36,Noi Bai International Airport
37,Pleiku Airport
38,Shanghai Pudong International Airport
39,Siem Reap International Airport
40,Tan Son Nhat International Airport
41,Vinh Airport
42,Wenzhou Longwan International Airport
43,Xiamen Gaoqi International Airport
44,Noi Bai International Airport
45,Cam Ranh Airport
46,Noi Bai International Airport
47,Tan Son Nhat International Airport
48,Noi Bai International Airport
49,Tan Son Nhat International Airport
50,Noi Bai International Airport
51,Tan Son Nhat International Airport
52,Adolfo Suarez Madrid Barajas Airport
53,Noi Bai International Airport
54,Tan Son Nhat International Airport
55,Noi Bai International Airport
56,Tan Son Nhat International Airport
57,Tan Son Nhat International Airport
58,Noi Bai International Airport
59,Tan Son Nhat International Airport
60,Da Nang International Airport
61,Noi Bai International Airport
62,Tan Son Nhat International Airport
63,Da Nang International Airport
64,Noi Bai International Airport
65,Tan Son Nhat International Airport
66,Da Nang International Airport
67,Noi Bai International Airport
68,Tan Son Nhat International Airport
69,Suvarnabhumi Airport
70,Noi Bai International Airport
71,Tan Son Nhat International Airport
72,Noi Bai International Airport
73,Tan Son Nhat International Airport
74,Noi Bai International Airport
75,Tan Son Nhat International Airport
76,Da Nang International Airport
77,Noi Bai International Airport
78,Tan Son Nhat International Airport
79,Noi Bai International Airport
80,Siem Reap International Airport
81,Tan Son Nhat International Airport
82,Noi Bai International Airport
83,Tan Son Nhat International Airport
84,Tan Son Nhat International Airport
85,Beijing Capital International Airport
86,Buon Ma Thuot Airport
87,Cam Ranh Airport
88,Can Tho International Airport
89,Charles de Gaulle International Airport
90,Chengdu Shuangliu International Airport
91,Chu Lai International Airport
92,Chubu Centrair International Airport
93,Da Nang International Airport
94,Dien Bien Phu Airport
95,Domodedovo International Airport
96,Dong Hoi Airport
97,Dong Tac Airport
