route_id,dep_airport
1,Abu Dhabi International Airport
2,Abu Dhabi International Airport
3,Adolfo Suarez Madrid Barajas Airport
4,Beijing Capital International Airport
5,Buon Ma Thuot Airport
6,Buon Ma Thuot Airport
7,Buon Ma Thuot Airport
8,Ca Mau Airport
9,Cam Ranh Airport
10,Cam Ranh Airport
11,Cam Ranh Airport
12,Cam Ranh Airport
13,Can Tho International Airport
14,Can Tho International Airport
15,Can Tho International Airport
16,Cat Bi International Airport
17,Cat Bi International Airport
18,Charles de Gaulle International Airport
19,Charles de Gaulle International Airport
20,Chengdu Shuangliu International Airport
21,Chengdu Shuangliu International Airport
22,Chu Lai International Airport
23,Chu Lai International Airport
24,Chubu Centrair International Airport
25,Chubu Centrair International Airport
26,Co Ong Airport
27,Co Ong Airport
28,Da Nang International Airport
29,Da Nang International Airport
30,Da Nang International Airport
31,Da Nang International Airport
32,Da Nang International Airport
33,Da Nang International Airport
34,Da Nang International Airport
35,Da Nang International Airport
36,Da Nang International Airport
37,Da Nang International Airport
38,Da Nang International Airport
39,Da Nang International Airport
40,Da Nang International Airport
41,Da Nang International Airport
42,Da Nang International Airport
43,Da Nang International Airport
44,Dien Bien Phu Airport
45,Domodedovo International Airport
46,Domodedovo International Airport
47,Domodedovo International Airport
48,Dong Hoi Airport
49,Dong Hoi Airport
50,Dong Tac Airport
51,Dong Tac Airport
52,Frankfurt am Main Airport
53,Frankfurt am Main Airport
54,Frankfurt am Main Airport
55,Fukuoka Airport
56,Fukuoka Airport
57,Fuzhou Changle International Airport
58,Gimhae International Airport
59,Gimhae International Airport
60,Guangzhou Baiyun International Airport
61,Guangzhou Baiyun International Airport
62,Guangzhou Baiyun International Airport
63,Hangzhou Xiaoshan International Airport
64,Hong Kong International Airport
65,Hong Kong International Airport
66,Incheon International Airport
67,Incheon International Airport
68,Incheon International Airport
69,Jomo Kenyatta International Airport
70,Kansai International Airport
71,Kansai International Airport
72,Kaohsiung International Airport
73,Kaohsiung International Airport
74,Kuala Lumpur International Airport
75,Kuala Lumpur International Airport
76,Lien Khuong Airport
77,Lien Khuong Airport
78,Lien Khuong Airport
79,Luang Phabang International Airport
80,Luang Phabang International Airport
81,Melbourne International Airport
82,Narita International Airport
83,Narita International Airport
84,Ninoy Aquino International Airport
85,Noi Bai International Airport
86,Noi Bai International Airport
87,Noi Bai International Airport
88,Noi Bai International Airport
89,Noi Bai International Airport
90,Noi Bai International Airport
91,Noi Bai International Airport
92,Noi Bai International Airport
93,Noi Bai International Airport
94,Noi Bai International Airport
95,Noi Bai International Airport
96,Noi Bai International Airport
97,Noi Bai International Airport
98,Noi Bai International Airport
99,Noi Bai International Airport
100,Noi Bai International Airport
101,Noi Bai International Airport
102,Noi Bai International Airport
103,Noi Bai International Airport
104,Noi Bai International Airport
105,Noi Bai International Airport
106,Noi Bai International Airport
107,Noi Bai International Airport
108,Noi Bai International Airport
109,Noi Bai International Airport
110,Noi Bai International Airport
111,Noi Bai International Airport
112,Noi Bai International Airport
113,Noi Bai International Airport
114,Noi Bai International Airport
115,Noi Bai International Airport
116,Noi Bai International Airport
117,Noi Bai International Airport
118,Noi Bai International Airport
119,Noi Bai International Airport
120,Noi Bai International Airport
121,Noi Bai International Airport
122,Noi Bai International Airport
123,Noi Bai International Airport
124,Phnom Penh International Airport
125,Phnom Penh International Airport
126,Phnom Penh International Airport
127,Phnom Penh International Airport
128,Phu Bai Airport
129,Phu Bai Airport
130,Phu Cat Airport
131,Phu Cat Airport
132,Phu Quoc International Airport
133,Phu Quoc International Airport
134,Phu Quoc International Airport
135,Pleiku Airport
136,Pleiku Airport
137,Pleiku Airport
138,Rach Gia Airport
139,Shanghai Pudong International Airport
140,Shanghai Pudong International Airport
141,Shanghai Pudong International Airport
142,Siem Reap International Airport
143,Siem Reap International Airport
144,Siem Reap International Airport
145,Siem Reap International Airport
146,Singapore Changi Airport
147,Singapore Changi Airport
148,Soekarno-Hatta International Airport
149,Suvarnabhumi Airport
150,Suvarnabhumi Airport
151,Suvarnabhumi Airport
152,Suvarnabhumi Airport
153,Sydney Kingsford Smith International Airport
154,Taiwan Taoyuan International Airport
155,Taiwan Taoyuan International Airport
156,Tan Son Nhat International Airport
157,Tan Son Nhat International Airport
158,Tan Son Nhat International Airport
159,Tan Son Nhat International Airport
160,Tan Son Nhat International Airport
161,Tan Son Nhat International Airport
162,Tan Son Nhat International Airport
163,Tan Son Nhat International Airport
164,Tan Son Nhat International Airport
165,Tan Son Nhat International Airport
166,Tan Son Nhat International Airport
167,Tan Son Nhat International Airport
168,Tan Son Nhat International Airport
169,Tan Son Nhat International Airport
170,Tan Son Nhat International Airport
171,Tan Son Nhat International Airport
172,Tan Son Nhat International Airport
173,Tan Son Nhat International Airport
174,Tan Son Nhat International Airport
175,Tan Son Nhat International Airport
176,Tan Son Nhat International Airport
177,Tan Son Nhat International Airport
178,Tan Son Nhat International Airport
179,Tan Son Nhat International Airport
180,Tan Son Nhat International Airport
181,Tan Son Nhat International Airport
182,Tan Son Nhat International Airport
183,Tan Son Nhat International Airport
184,Tan Son Nhat International Airport
185,Tan Son Nhat International Airport
186,Tan Son Nhat International Airport
187,Tan Son Nhat International Airport
188,Tan Son Nhat International Airport
189,Tan Son Nhat International Airport
190,Tan Son Nhat International Airport
191,Tan Son Nhat International Airport
192,Tan Son Nhat International Airport
193,Tan Son Nhat International Airport
194,Tan Son Nhat International Airport
195,Tan Son Nhat International Airport
196,Tan Son Nhat International Airport
197,Tan Son Nhat International Airport
198,Tan Son Nhat International Airport
199,Vinh Airport
200,Vinh Airport
201,Vinh Airport
202,Vinh Airport
203,Wattay International Airport
204,Wattay International Airport
205,Wattay International Airport
206,Wenzhou Longwan International Airport
207,Xiamen Gaoqi International Airport
208,Yangon International Airport
209,Yangon International Airport
210,Domodedovo International Airport
211,Manas International Airport
212,Manas International Airport
213,Osh Airport
214,Abbotsford Airport
215,Brandon Municipal Airport
216,Calgary International Airport
217,Calgary International Airport
218,Calgary International Airport
219,Calgary International Airport
220,Calgary International Airport
221,Calgary International Airport
222,Calgary International Airport
223,Calgary International Airport
224,Calgary International Airport
225,Calgary International Airport
226,Calgary International Airport
227,Calgary International Airport
228,Calgary International Airport
229,Calgary International Airport
230,Calgary International Airport
231,Calgary International Airport
232,Charlottetown Airport
233,Chicago O'Hare International Airport
234,Comox Airport
235,Dallas Fort Worth International Airport
236,Dallas Fort Worth International Airport
237,Dallas Fort Worth International Airport
238,Detroit Metropolitan Wayne County Airport
239,Edmonton International Airport
240,Edmonton International Airport
241,Edmonton International Airport
242,Edmonton International Airport
243,Edmonton International Airport
244,Edmonton International Airport
245,Edmonton International Airport
246,Edmonton International Airport
247,Edmonton International Airport
248,Fort McMurray Airport
249,Fort St John Airport
250,Fort St John Airport
251,Grande Prairie Airport
252,Grande Prairie Airport
253,Halifax / Stanfield International Airport
254,Halifax / Stanfield International Airport
255,Hartsfield Jackson Atlanta International Airport
256,Hartsfield Jackson Atlanta International Airport
257,Hartsfield Jackson Atlanta International Airport
258,John F Kennedy International Airport
259,John F Kennedy International Airport
260,Kamloops Airport
261,Kelowna International Airport
262,Kelowna International Airport
263,Kelowna International Airport
264,La Guardia Airport
265,La Guardia Airport
266,La Guardia Airport
267,La Guardia Airport
268,La Guardia Airport
269,Lester B. Pearson International Airport
270,Lester B. Pearson International Airport
271,Lester B. Pearson International Airport
272,Lester B. Pearson International Airport
273,Lester B. Pearson International Airport
274,Lester B. Pearson International Airport
275,Lester B. Pearson International Airport
276,Lester B. Pearson International Airport
277,Lester B. Pearson International Airport
278,Lester B. Pearson International Airport
279,Lester B. Pearson International Airport
280,Lester B. Pearson International Airport
281,Lester B. Pearson International Airport
282,Lester B. Pearson International Airport
283,Lester B. Pearson International Airport
284,Lester B. Pearson International Airport
285,Lester B. Pearson International Airport
286,Lester B. Pearson International Airport
287,Los Angeles International Airport
288,Louis Armstrong New Orleans International Airport
289,Louis Armstrong New Orleans International Airport
290,Miami International Airport
291,Miami International Airport
292,Miami International Airport
293,Minneapolis-St Paul International/Wold-Chamberlain Airport
294,Montreal / Pierre Elliott Trudeau International Airport
295,Montreal / Pierre Elliott Trudeau International Airport
296,Montreal / Pierre Elliott Trudeau International Airport
297,Montreal / Pierre Elliott Trudeau International Airport
298,Montreal / Pierre Elliott Trudeau International Airport
299,Montreal / Pierre Elliott Trudeau International Airport
300,Nanaimo Airport
301,Northwest Regional Airport Terrace-Kitimat
302,Ottawa Macdonald-Cartier International Airport
303,Ottawa Macdonald-Cartier International Airport
304,Prince George Airport
305,Prince George Airport
306,Regina International Airport
307,Regina International Airport
308,Regina International Airport
309,Saskatoon John G. Diefenbaker International Airport
310,Saskatoon John G. Diefenbaker International Airport
311,Saskatoon John G. Diefenbaker International Airport
312,Southwest Florida International Airport
313,Tampa International Airport
314,Thunder Bay Airport
315,Thunder Bay Airport
316,Vancouver International Airport
317,Vancouver International Airport
318,Vancouver International Airport
319,Vancouver International Airport
320,Vancouver International Airport
321,Vancouver International Airport
322,Vancouver International Airport
323,Vancouver International Airport
324,Vancouver International Airport
325,Vancouver International Airport
326,Victoria International Airport
327,Victoria International Airport
328,Victoria International Airport
329,Winnipeg / James Armstrong Richardson International Airport
