route_id,dep_airport,arr_airport,airline_name
1,Abu Dhabi International Airport,Kuala Lumpur International Airport,Air 26
2,Abu Dhabi International Airport,Tan Son Nhat International Airport,Air 26
3,Adolfo Suarez Madrid Barajas Airport,Frankfurt am Main Airport,Air 26
4,Beijing Capital International Airport,Noi Bai International Airport,Air 26
5,Buon Ma Thuot Airport,Da Nang International Airport,Air 26
6,Buon Ma Thuot Airport,Noi Bai International Airport,Air 26
7,Buon Ma Thuot Airport,Tan Son Nhat International Airport,Air 26
8,Ca Mau Airport,Tan Son Nhat International Airport,Air 26
9,Cam Ranh Airport,Da Nang International Airport,Air 26
10,Cam Ranh Airport,Domodedovo International Airport,Air 26
11,Cam Ranh Airport,Noi Bai International Airport,Air 26
12,Cam Ranh Airport,Tan Son Nhat International Airport,Air 26
13,Can Tho International Airport,Co Ong Airport,Air 26
14,Can Tho International Airport,Noi Bai International Airport,Air 26
15,Can Tho International Airport,Phu Quoc International Airport,Air 26
16,Cat Bi International Airport,Da Nang International Airport,Air 26
17,Cat Bi International Airport,Tan Son Nhat International Airport,Air 26
18,Charles de Gaulle International Airport,Noi Bai International Airport,Air 26
19,Charles de Gaulle International Airport,Tan Son Nhat International Airport,Air 26
20,Chengdu Shuangliu International Airport,Da Nang International Airport,Air 26
21,Chengdu Shuangliu International Airport,Noi Bai International Airport,Air 26
22,Chu Lai International Airport,Noi Bai International Airport,Air 26
23,Chu Lai International Airport,Tan Son Nhat International Airport,Air 26
24,Chubu Centrair International Airport,Noi Bai International Airport,Air 26
25,Chubu Centrair International Airport,Tan Son Nhat International Airport,Air 26
26,Co Ong Airport,Can Tho International Airport,Air 26
27,Co Ong Airport,Tan Son Nhat International Airport,Air 26
28,Da Nang International Airport,Buon Ma Thuot Airport,Air 26
29,Da Nang International Airport,Cam Ranh Airport,Air 26
30,Da Nang International Airport,Cat Bi International Airport,Air 26
31,Da Nang International Airport,Chengdu Shuangliu International Airport,Air 26
32,Da Nang International Airport,Guangzhou Baiyun International Airport,Air 26
33,Da Nang International Airport,Hangzhou Xiaoshan International Airport,Air 26
34,Da Nang International Airport,Incheon International Airport,Air 26
35,Da Nang International Airport,Lien Khuong Airport,Air 26
36,Da Nang International Airport,Noi Bai International Airport,Air 26
37,Da Nang International Airport,Pleiku Airport,Air 26
38,Da Nang International Airport,Shanghai Pudong International Airport,Air 26
39,Da Nang International Airport,Siem Reap International Airport,Air 26
40,Da Nang International Airport,Tan Son Nhat International Airport,Air 26
41,Da Nang International Airport,Vinh Airport,Air 26
42,Da Nang International Airport,Wenzhou Longwan International Airport,Air 26
43,Da Nang International Airport,Xiamen Gaoqi International Airport,Air 26
44,Dien Bien Phu Airport,Noi Bai International Airport,Air 26
45,Domodedovo International Airport,Cam Ranh Airport,Air 26
46,Domodedovo International Airport,Noi Bai International Airport,Air 26
47,Domodedovo International Airport,Tan Son Nhat International Airport,Air 26
